Dominant_Topic,Keywords,Engagement,Count
0,"ux, design, ee, al, berkarir, ui, product, makinmahir, ae, ibimbing",1359.5714285714287,49
1,"nemu, ruang, prinsip, city, text, first, tulisannya, wireframe, visit, denmark",411.8333333333333,6
2,"bootcamp, marketing, product, digital, batch, swipe, manager, management, ig, ibimbing",1634.6923076923076,39
3,"marketing, seo, new, class, product, content, google, digital, manager, learning",702.2608695652174,23
4,"data, ux, design, scientist, twitter, product, fitur, ui, bootcamp, research",5063.5,22
5,"digital, marketing, bootcamp, swipe, ibimbing, berani, al, kerja, talent_support, kak",299.7,30
6,"side_hustle, side, world, income, danacita, jumat, mentortalks, kalo, affiliate, job",332.3636363636364,11
7,"data, program, digital, magang, berkarir, ibimbing, bootcamp, indigo, kerja, nggak",2107.231884057971,69
8,"internpro, wy, peer, nutup, akses, free, subscribe, supervised, versi, kolom",191.0,4
